timestamp_ms,u,s,ccs,interval_ms,pred_label,true_label_4
0,0.0236,1.0000,0.9835,2000,1,1
1000,0.0170,1.0000,0.9881,2000,1,1
2000,0.0184,1.0000,0.9871,2000,1,1
3000,0.0344,1.0000,0.9759,2000,1,1
4000,0.0490,1.0000,0.9657,2000,1,1
5000,0.0176,1.0000,0.9877,2000,1,1
6000,0.0168,1.0000,0.9883,2000,1,1
7000,0.0110,1.0000,0.9923,2000,1,1
8000,0.0083,1.0000,0.9942,2000,1,1
9000,0.0234,1.0000,0.9836,2000,1,1
10000,0.0209,1.0000,0.9854,2000,1,1
11000,0.0246,1.0000,0.9828,2000,1,1
12000,0.0362,1.0000,0.9747,2000,1,1
13000,0.1211,1.0000,0.9152,2000,1,1
14000,0.0416,1.0000,0.9709,2000,1,1
15000,0.0282,1.0000,0.9803,2000,1,1
16000,0.0613,1.0000,0.9571,2000,1,1
17000,0.0195,1.0000,0.9863,2000,1,1
18000,0.0064,1.0000,0.9955,2000,1,1
19000,0.0229,1.0000,0.9839,2000,1,1
20000,0.0269,1.0000,0.9812,2000,1,1
21000,0.0150,1.0000,0.9895,2000,1,1
22000,0.0161,1.0000,0.9887,2000,1,1
23000,0.0455,1.0000,0.9681,2000,1,1
24000,0.0148,1.0000,0.9896,2000,1,1
25000,0.0164,1.0000,0.9885,2000,1,1
26000,0.1010,1.0000,0.9293,2000,1,1
27000,0.0214,1.0000,0.9850,2000,1,1
28000,0.0069,1.0000,0.9952,2000,1,1
29000,0.0290,1.0000,0.9797,2000,1,1
30000,0.0364,1.0000,0.9745,2000,1,1
31000,0.0325,1.0000,0.9772,2000,1,1
32000,0.0315,1.0000,0.9780,2000,1,1
33000,0.0275,1.0000,0.9807,2000,1,1
34000,0.0125,1.0000,0.9912,2000,1,1
35000,0.0130,1.0000,0.9909,2000,1,1
36000,0.0073,1.0000,0.9949,2000,1,1
37000,0.0057,1.0000,0.9960,2000,1,1
38000,0.0917,1.0000,0.9358,2000,1,1
39000,0.0299,1.0000,0.9791,2000,1,1
40000,0.0160,1.0000,0.9888,2000,1,1
41000,0.0070,1.0000,0.9951,2000,1,1
42000,0.0103,1.0000,0.9928,2000,1,1
43000,0.0108,1.0000,0.9925,2000,1,1
44000,0.0118,1.0000,0.9917,2000,1,1
45000,0.0246,1.0000,0.9828,2000,1,1
46000,0.0497,1.0000,0.9652,2000,1,1
47000,0.0236,1.0000,0.9835,2000,1,1
48000,0.0066,1.0000,0.9954,2000,1,1
49000,0.0120,1.0000,0.9916,2000,1,1
50000,0.0134,1.0000,0.9906,2000,1,1
51000,0.0177,1.0000,0.9876,2000,1,1
52000,0.0824,1.0000,0.9423,2000,1,1
53000,0.0176,1.0000,0.9877,2000,1,1
54000,0.0095,1.0000,0.9934,2000,1,1
55000,0.0459,1.0000,0.9679,2000,1,1
56000,0.0258,1.0000,0.9819,2000,1,1
