idx,label,S,U,CCS,T_adv
0,11,0.000000,1.000000,0.000000,100
1,11,0.020000,0.960139,0.033903,100
2,11,0.040000,0.970339,0.032763,100
3,11,0.060000,0.934353,0.063953,100
4,11,0.080000,0.972824,0.043023,100
5,11,0.100000,0.842031,0.140578,100
6,11,0.120000,0.733889,0.222278,100
7,11,0.140000,0.820759,0.167469,100
8,11,0.160000,0.847911,0.154462,100
9,11,0.180000,0.820218,0.179847,100
10,11,0.200000,0.824831,0.182619,100
11,11,0.220000,0.733081,0.252843,100
12,11,0.240000,0.737495,0.255753,100
13,11,0.260000,0.660721,0.315495,500
14,11,0.280000,0.751365,0.258045,100
15,11,0.300000,0.736725,0.274292,100
16,11,0.320000,0.713678,0.296425,100
17,11,0.340000,0.604002,0.379198,500
18,11,0.360000,0.688060,0.326358,500
19,11,0.380000,0.641242,0.365131,500
20,11,0.400000,0.677032,0.346078,500
21,11,0.420000,0.600281,0.405803,500
22,11,0.440000,0.525094,0.464434,500
23,11,0.460000,0.475823,0.504924,500
24,11,0.480000,0.516490,0.482457,500
25,11,0.500000,0.453166,0.532784,500
26,11,0.520000,0.497229,0.507940,500
27,11,0.540000,0.461537,0.538924,500
28,11,0.560000,0.387458,0.596780,500
29,11,0.580000,0.447266,0.560914,500
30,11,0.600000,0.410590,0.592587,500
31,11,0.620000,0.315320,0.665276,500
32,11,0.640000,0.328362,0.662147,500
33,11,0.660000,0.370645,0.638548,500
34,11,0.680000,0.328371,0.674140,500
35,11,0.700000,0.326099,0.681731,500
36,11,0.720000,0.245494,0.744155,2000
37,11,0.740000,0.280550,0.725615,2000
38,11,0.760000,0.278602,0.732978,2000
39,11,0.780000,0.287839,0.732513,2000
40,11,0.800000,0.211624,0.791863,2000
41,11,0.820000,0.101534,0.874926,2000
42,11,0.840000,0.154186,0.844070,2000
43,11,0.860000,0.137773,0.861559,2000
44,11,0.880000,0.182032,0.836577,2000
45,11,0.900000,0.202271,0.828410,2000
46,11,0.920000,0.117610,0.893673,2000
47,11,0.940000,0.076495,0.928454,2000
48,11,0.960000,0.000000,0.988000,2000
49,11,0.980000,0.000000,0.994000,2000
50,11,1.000000,0.000000,1.000000,2000
51,11,1.000000,0.034920,0.975556,2000
52,11,1.000000,0.008143,0.994300,2000
53,11,1.000000,0.015259,0.989318,2000
54,9,0.000000,0.997932,0.001448,100
55,9,0.020000,0.999066,0.006654,100
56,9,0.040000,1.000000,0.012000,100
57,9,0.060000,0.836583,0.132392,100
58,9,0.080000,0.959984,0.052011,100
59,9,0.100000,0.853661,0.132437,100
60,9,0.120000,0.870595,0.126583,100
61,9,0.140000,0.908134,0.106306,100
62,9,0.160000,0.880079,0.131945,100
63,9,0.180000,0.827737,0.174584,100
64,9,0.200000,0.785467,0.210173,100
65,9,0.220000,0.754106,0.238126,100
66,9,0.240000,0.762552,0.238214,100
67,9,0.260000,0.744581,0.256794,100
68,9,0.280000,0.727242,0.274931,100
69,9,0.300000,0.675429,0.317200,500
70,9,0.320000,0.624055,0.359161,500
71,9,0.340000,0.643454,0.351582,500
72,9,0.360000,0.674737,0.335684,500
73,9,0.380000,0.603381,0.391633,500
74,9,0.400000,0.683490,0.341557,500
75,9,0.420000,0.560687,0.433519,500
76,9,0.440000,0.570915,0.432359,500
77,9,0.460000,0.523904,0.471267,500
78,9,0.480000,0.530308,0.472784,500
79,9,0.500000,0.468631,0.521958,500
80,9,0.520000,0.454285,0.538001,500
81,9,0.540000,0.424926,0.564552,500
82,9,0.560000,0.335417,0.633208,500
83,9,0.580000,0.473332,0.542668,500
84,9,0.600000,0.504296,0.526993,500
85,9,0.620000,0.397974,0.607418,500
86,9,0.640000,0.317598,0.669681,500
87,9,0.660000,0.406237,0.613634,500
88,9,0.680000,0.362267,0.650413,500
89,9,0.700000,0.345764,0.667965,500
90,9,0.720000,0.318324,0.693173,500
91,9,0.740000,0.156320,0.812576,2000
92,9,0.760000,0.230232,0.766837,2000
93,9,0.780000,0.236004,0.768797,2000
94,9,0.800000,0.244057,0.769160,2000
95,9,0.820000,0.237743,0.779580,2000
96,9,0.840000,0.140202,0.853859,2000
