rx_trial_id,condition,repeat_idx,session,mode,rx_count,rx_unique,adv_count,pdr_unique,rx_tag_n100,rx_tag_n500,rx_tag_share100_time_est,tl_mean_s,tl_p95_s,pout_1s,pout_2s,pout_3s,tl_time_offset_ms,tl_time_offset_n,txsd_ms_total,E_total_mJ,avg_power_mW,txsd_path,rx_path
2,S1_fixed100,1,1,FIXED_100,1421,1420,1796,0.790646,1420,0,1.0,5.10375,53.35615,0.1,0.1,0.1,-1220.0,1419,181484.0,36847.544,203.03466972295078,uccs_d2_scan90/data/B/TX/trial_001_c1_s1_fixed100.csv,uccs_d2_scan90/data/B/RX/rx_trial_002.csv
3,S1_fixed500,1,1,FIXED_500,300,300,359,0.835655,1,299,0.000668,5.300375,53.368925,0.2,0.1,0.1,-699.5,300,179653.0,32881.102,183.02562161500225,uccs_d2_scan90/data/B/TX/trial_001_c3_s1_policy.csv,uccs_d2_scan90/data/B/RX/rx_trial_003.csv
4,S1_policy,1,1,POLICY,700,700,855,0.818713,498,202,0.330239,5.1951,53.3738,0.1,0.1,0.1,-757.0,700,180540.0,34303.246,190.0035781544256,uccs_d2_scan90/data/B/TX/trial_001_c4_s4_fixed100.csv,uccs_d2_scan90/data/B/RX/rx_trial_004.csv
5,S4_fixed100,1,4,FIXED_100,1429,1429,1796,0.795657,1428,1,0.996511,1.249634,13.6667,0.073171,0.04878,0.04878,-1198.0,1429,181482.0,36739.403,202.44102996440418,uccs_d2_scan90/data/B/TX/trial_001_c5_s4_fixed500.csv,uccs_d2_scan90/data/B/RX/rx_trial_005.csv
6,S4_fixed500,1,4,FIXED_500,286,286,359,0.796657,1,285,0.000701,1.620049,14.9768,0.195122,0.097561,0.097561,-678.0,286,179637.0,32909.928,183.20239148950384,uccs_d2_scan90/data/B/TX/trial_001_c6_s4_policy.csv,uccs_d2_scan90/data/B/RX/rx_trial_006.csv
7,S4_policy,1,4,POLICY,958,957,1227,0.779951,844,113,0.599006,1.245537,13.9336,0.073171,0.04878,0.04878,-900.0,957,180906.0,35244.03,194.81957480680572,uccs_d2_scan90/data/B/TX/trial_001_c7_unk.csv,uccs_d2_scan90/data/B/RX/rx_trial_007.csv
8,S1_fixed100,2,1,FIXED_100,1393,1392,1796,0.775056,1392,0,1.0,5.09495,53.35685,0.1,0.1,0.1,-1171.0,1392,181477.0,36886.619,203.25781779509248,uccs_d2_scan90/data/B/TX/trial_001_c2_s1_fixed500.csv,uccs_d2_scan90/data/B/RX/rx_trial_008.csv
9,S1_fixed500,2,1,FIXED_500,294,294,359,0.818942,0,294,0.0,5.3122,53.36635,0.15,0.1,0.1,-646.0,294,179619.0,32949.043,183.43851708338204,uccs_d2_scan90/data/B/TX/trial_002_c3_s1_policy.csv,uccs_d2_scan90/data/B/RX/rx_trial_009.csv
10,S1_policy,2,1,POLICY,700,700,855,0.818713,496,204,0.327177,5.24535,53.37365,0.1,0.1,0.1,-710.0,700,180526.0,34177.069,189.31937227878532,uccs_d2_scan90/data/B/TX/trial_002_c4_s4_fixed100.csv,uccs_d2_scan90/data/B/RX/rx_trial_010.csv
11,S4_fixed100,2,4,FIXED_100,1393,1393,1796,0.775612,1392,1,0.996421,1.236171,13.6357,0.04878,0.04878,0.04878,-1157.0,1393,181466.0,36685.926,202.16418502639613,uccs_d2_scan90/data/B/TX/trial_002_c5_s4_fixed500.csv,uccs_d2_scan90/data/B/RX/rx_trial_011.csv
12,S4_fixed500,2,4,FIXED_500,291,291,359,0.810585,1,290,0.000689,1.708902,15.007,0.146341,0.097561,0.097561,-620.0,291,179626.0,32848.146,182.8696625210159,uccs_d2_scan90/data/B/TX/trial_002_c6_s4_policy.csv,uccs_d2_scan90/data/B/RX/rx_trial_012.csv
13,S4_policy,2,4,POLICY,953,952,1227,0.775876,836,116,0.590395,2.26,23.7535,0.121951,0.073171,0.073171,-823.5,952,180894.0,35375.844,195.56117947527278,uccs_d2_scan90/data/B/TX/trial_002_c7_unk.csv,uccs_d2_scan90/data/B/RX/rx_trial_013.csv
14,S1_fixed100,3,1,FIXED_100,1419,1419,1796,0.790089,1419,0,1.0,2.43275,42.6563,0.05,0.05,0.05,-1115.0,1419,181465.0,36716.754,202.33518309315846,uccs_d2_scan90/data/B/TX/trial_002_c1_s1_fixed100.csv,uccs_d2_scan90/data/B/RX/rx_trial_014.csv
15,S1_fixed500,3,1,FIXED_500,285,285,359,0.793872,1,284,0.000704,5.2747,53.36795,0.1,0.1,0.1,-589.0,285,179616.0,32948.453,183.4382961428826,uccs_d2_scan90/data/B/TX/trial_003_c3_s1_policy.csv,uccs_d2_scan90/data/B/RX/rx_trial_015.csv
16,S1_policy,3,1,POLICY,677,677,855,0.791813,487,190,0.3389,5.30085,53.37445,0.15,0.1,0.1,-609.0,677,180512.0,34285.471,189.93458052650237,uccs_d2_scan90/data/B/TX/trial_003_c4_s4_fixed100.csv,uccs_d2_scan90/data/B/RX/rx_trial_016.csv
17,S4_fixed100,3,4,FIXED_100,1426,1424,1796,0.792873,1423,1,0.996499,1.256073,13.6019,0.04878,0.04878,0.04878,-1089.0,1424,181445.0,36841.047,203.04250323789577,uccs_d2_scan90/data/B/TX/trial_004_c4_s4_fixed100.csv,uccs_d2_scan90/data/B/RX/rx_trial_017.csv
18,S4_fixed500,3,4,FIXED_500,303,303,359,0.844011,0,303,0.0,3.169268,20.1689,0.121951,0.097561,0.097561,-564.0,303,179607.0,32970.008,183.5675001531121,uccs_d2_scan90/data/B/TX/trial_003_c6_s4_policy.csv,uccs_d2_scan90/data/B/RX/rx_trial_018.csv
19,S4_policy,3,4,POLICY,959,957,1227,0.779951,839,118,0.587124,1.258951,13.8866,0.04878,0.04878,0.04878,-771.0,957,180880.0,35327.718,195.31024988942946,uccs_d2_scan90/data/B/TX/trial_003_c7_unk.csv,uccs_d2_scan90/data/B/RX/rx_trial_019.csv
84,S4_policy,1,4,POLICY,1009,1008,1227,0.821516,893,115,0.608311,2.180732,23.6714,0.073171,0.073171,0.073171,1226.5,1008,180905.0,35958.479,198.76995660705896,uccs_d2_scan90/data/B/02/TX/trial_001_c7_unk.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_084.csv
85,S1_fixed100,1,1,FIXED_100,1468,1466,1793,0.817624,1466,0,1.0,2.4398,42.7262,0.05,0.05,0.05,977.0,1466,181134.0,37155.962,205.1296940386675,uccs_d2_scan90/data/B/02/TX/trial_001_c1_s1_fixed100.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_085.csv
86,S1_fixed500,1,1,FIXED_500,300,300,359,0.835655,0,300,0.0,5.30245,53.36735,0.2,0.1,0.1,1560.0,300,179653.0,33355.851,185.66821038335016,uccs_d2_scan90/data/B/02/TX/trial_001_c2_s1_fixed500.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_086.csv
87,S1_policy,1,1,POLICY,698,697,855,0.815205,496,201,0.330446,5.28585,53.3993,0.15,0.1,0.1,1531.0,697,180538.0,34904.265,193.33472731502508,uccs_d2_scan90/data/B/02/TX/trial_001_c4_s4_fixed100.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_087.csv
88,S4_fixed100,1,4,FIXED_100,1444,1443,1796,0.803452,1443,0,1.0,1.250439,13.6383,0.04878,0.04878,0.04878,1116.0,1443,181477.0,37489.878,206.58198008563068,uccs_d2_scan90/data/B/02/TX/trial_001_c5_s4_fixed500.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_088.csv
89,S4_fixed500,1,4,FIXED_500,298,298,359,0.830084,0,298,0.0,2.929366,15.0313,0.121951,0.097561,0.097561,1700.0,298,179638.0,33424.385,186.0652256204144,uccs_d2_scan90/data/B/02/TX/trial_001_c6_s4_policy.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_089.csv
90,S4_policy,2,4,POLICY,1003,1003,1227,0.817441,882,121,0.593141,1.23739,14.2797,0.04878,0.04878,0.04878,1509.0,1003,180891.0,35788.503,197.8456805479543,uccs_d2_scan90/data/B/02/TX/trial_002_c7_unk.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_090.csv
91,S1_fixed100,2,1,FIXED_100,1387,1387,1796,0.772272,1387,0,1.0,2.41465,42.71505,0.05,0.05,0.05,2612.0,1387,181460.0,37222.167,205.12601675300343,uccs_d2_scan90/data/B/02/TX/trial_002_c1_s1_fixed100.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_091.csv
92,S1_fixed500,2,1,FIXED_500,292,292,359,0.81337,0,292,0.0,5.266075,53.369075,0.1,0.1,0.1,1837.5,292,179634.0,33486.651,186.4159958582451,uccs_d2_scan90/data/B/02/TX/trial_001_c3_s1_policy.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_092.csv
93,S1_policy,2,1,POLICY,653,652,855,0.762573,464,188,0.330484,5.2295,53.37455,0.15,0.1,0.1,1825.0,652,180518.0,34900.067,193.33289201076903,uccs_d2_scan90/data/B/02/TX/trial_002_c4_s4_fixed100.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_093.csv
94,S4_fixed100,2,4,FIXED_100,1417,1417,1796,0.788976,1417,0,1.0,1.253561,13.5936,0.04878,0.04878,0.04878,1417.0,1417,181462.0,37505.15,206.68321742293153,uccs_d2_scan90/data/B/02/TX/trial_002_c5_s4_fixed500.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_094.csv
95,S4_fixed500,2,4,FIXED_500,297,297,359,0.827298,0,297,0.0,1.325268,10.2239,0.121951,0.097561,0.097561,2004.0,297,179623.0,33422.906,186.07252968717816,uccs_d2_scan90/data/B/02/TX/trial_002_c6_s4_policy.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_095.csv
96,S4_policy,3,4,POLICY,960,959,1227,0.781581,842,117,0.590049,1.269244,13.9147,0.04878,0.04878,0.04878,1817.0,959,180873.0,35677.639,197.25243126392553,uccs_d2_scan90/data/B/02/TX/trial_003_c7_unk.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_096.csv
97,S1_fixed100,3,1,FIXED_100,1412,1411,1796,0.785635,1411,0,1.0,5.08815,53.3578,0.1,0.1,0.1,1571.0,1411,181469.0,37361.659,205.88452573166768,uccs_d2_scan90/data/B/02/TX/trial_002_c2_s1_fixed500.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_097.csv
98,S1_fixed500,3,1,FIXED_500,286,286,359,0.796657,0,286,0.0,5.299125,53.368425,0.1,0.1,0.1,2148.5,286,179621.0,33399.636,185.94505096842795,uccs_d2_scan90/data/B/02/TX/trial_002_c3_s1_policy.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_098.csv
99,S1_policy,3,1,POLICY,693,693,855,0.810526,491,202,0.327115,5.17525,53.3739,0.1,0.1,0.1,2148.0,693,180508.0,34850.709,193.0701630952645,uccs_d2_scan90/data/B/02/TX/trial_003_c4_s4_fixed100.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_099.csv
100,S4_fixed100,3,4,FIXED_100,1428,1428,1796,0.7951,1428,0,1.0,1.240537,13.5884,0.04878,0.04878,0.04878,1719.0,1428,181450.0,37333.104,205.74871314411683,uccs_d2_scan90/data/B/02/TX/trial_003_c5_s4_fixed500.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_100.csv
101,S4_fixed500,3,4,FIXED_500,285,285,359,0.793872,0,285,0.0,4.150585,37.7058,0.170732,0.121951,0.121951,2337.0,285,179609.0,33318.131,185.50368300029507,uccs_d2_scan90/data/B/02/TX/trial_003_c6_s4_policy.csv,uccs_d2_scan90/data/B/02/RX/rx_trial_101.csv
