timestamp_ms,u,s,ccs,interval_ms,pred_label,true_label_4
0,0.5369,1.0000,0.6242,100,3,2
100,0.5617,1.0000,0.6068,100,3,2
200,0.5269,1.0000,0.6312,100,3,2
300,0.5269,1.0000,0.6312,100,3,2
400,0.5617,1.0000,0.6068,100,3,2
500,0.5269,1.0000,0.6312,100,3,2
600,0.5269,1.0000,0.6312,100,3,2
700,0.5515,1.0000,0.6140,100,3,2
800,0.5617,1.0000,0.6068,100,3,2
900,0.5490,1.0000,0.6157,100,3,2
1000,0.5611,1.0000,0.6072,100,3,2
1100,0.5489,1.0000,0.6157,100,3,2
1200,0.5611,1.0000,0.6072,100,3,2
1300,0.5487,1.0000,0.6159,100,3,2
1400,0.5487,1.0000,0.6159,100,3,2
1500,0.5487,1.0000,0.6159,100,3,2
1600,0.5617,1.0000,0.6068,100,3,2
1700,0.5617,1.0000,0.6068,100,3,2
1800,0.5622,1.0000,0.6064,100,3,2
1900,0.5617,1.0000,0.6068,100,3,2
2000,0.5616,1.0000,0.6069,100,3,2
2100,0.5617,1.0000,0.6068,100,3,2
2200,0.5617,1.0000,0.6068,100,3,2
2300,0.5616,1.0000,0.6069,100,3,2
2400,0.5617,1.0000,0.6068,100,3,2
2500,0.5616,1.0000,0.6069,100,3,2
2600,0.5486,1.0000,0.6160,100,3,2
2700,0.5368,1.0000,0.6242,100,3,2
2800,0.5402,1.0000,0.6219,100,3,2
2900,0.5365,1.0000,0.6244,100,3,2
3000,0.5404,1.0000,0.6217,100,3,2
3100,0.5368,1.0000,0.6243,100,3,2
3200,0.5501,1.0000,0.6149,100,3,2
3300,0.5368,1.0000,0.6243,100,3,2
3400,0.5368,1.0000,0.6243,100,3,2
3500,0.5368,1.0000,0.6243,100,3,2
3600,0.5368,1.0000,0.6243,100,3,2
3700,0.5368,1.0000,0.6242,100,3,2
3800,0.5401,1.0000,0.6219,100,3,2
3900,0.5158,1.0000,0.6389,100,3,2
4000,0.5368,1.0000,0.6243,100,3,2
4100,0.5499,1.0000,0.6151,100,3,2
4200,0.5158,1.0000,0.6390,100,3,2
4300,0.5157,1.0000,0.6390,100,3,2
4400,0.5158,1.0000,0.6389,100,3,2
4500,0.5254,1.0000,0.6322,100,3,2
4600,0.5368,1.0000,0.6242,100,3,2
4700,0.5485,1.0000,0.6160,100,3,2
4800,0.5369,1.0000,0.6242,100,3,2
4900,0.5231,1.0000,0.6339,100,3,2
5000,0.5594,1.0000,0.6084,100,3,2
5100,0.5488,1.0000,0.6158,100,3,2
5200,0.5488,1.0000,0.6158,100,3,2
5300,0.5486,1.0000,0.6160,100,3,2
5400,0.5486,1.0000,0.6160,100,3,2
5500,0.5230,1.0000,0.6339,100,3,2
5600,0.5368,1.0000,0.6242,100,3,2
5700,0.5353,1.0000,0.6253,100,3,2
5800,0.5353,1.0000,0.6253,100,3,2
5900,0.5489,1.0000,0.6158,100,3,2
6000,0.5488,1.0000,0.6158,100,3,2
6100,0.5489,1.0000,0.6158,100,3,2
6200,0.5611,1.0000,0.6072,100,3,2
6300,0.5612,1.0000,0.6072,100,3,2
6400,0.5724,1.0000,0.5993,100,3,2
6500,0.5611,1.0000,0.6072,100,3,2
6600,0.5489,1.0000,0.6158,100,3,2
6700,0.5489,1.0000,0.6158,100,3,2
6800,0.5269,1.0000,0.6312,100,3,2
6900,0.5268,1.0000,0.6312,100,3,2
7000,0.5616,1.0000,0.6069,100,3,2
7100,0.5369,1.0000,0.6242,100,3,2
7200,0.5486,1.0000,0.6160,100,3,2
7300,0.5486,1.0000,0.6160,100,3,2
7400,0.5486,1.0000,0.6160,100,3,2
7500,0.5850,1.0000,0.5905,100,3,2
7600,0.5740,1.0000,0.5982,100,3,2
7700,0.5611,1.0000,0.6072,100,3,2
7800,0.5723,1.0000,0.5994,100,3,2
7900,0.5594,1.0000,0.6084,100,3,2
8000,0.5724,1.0000,0.5993,100,3,2
8100,0.5611,1.0000,0.6072,100,3,2
8200,0.5723,1.0000,0.5994,100,3,2
8300,0.5740,1.0000,0.5982,100,3,2
8400,0.5489,1.0000,0.6158,100,3,2
8500,0.5490,1.0000,0.6157,100,3,2
8600,0.5612,1.0000,0.6072,100,3,2
8700,0.5611,1.0000,0.6072,100,3,2
8800,0.5978,1.0000,0.5816,100,3,2
8900,0.5614,1.0000,0.6070,100,3,2
9000,0.5612,1.0000,0.6071,100,3,2
9100,0.5611,1.0000,0.6072,100,3,2
9200,0.5739,1.0000,0.5982,100,3,2
9300,0.5746,1.0000,0.5978,100,3,2
9400,0.5739,1.0000,0.5983,100,3,2
9500,0.5488,1.0000,0.6158,100,3,2
9600,0.5487,1.0000,0.6159,100,3,2
9700,0.5617,1.0000,0.6068,100,3,2
9800,0.5619,1.0000,0.6067,100,3,2
9900,0.5618,1.0000,0.6067,100,3,2
10000,0.5487,1.0000,0.6159,100,3,2
10100,0.5619,1.0000,0.6067,100,3,2
10200,0.5488,1.0000,0.6158,100,3,2
10300,0.5488,1.0000,0.6158,100,3,2
10400,0.5515,1.0000,0.6140,100,3,2
10500,0.5619,1.0000,0.6067,100,3,2
10600,0.5523,1.0000,0.6134,100,3,2
10700,0.5517,1.0000,0.6138,100,3,2
10800,0.5739,1.0000,0.5983,100,3,2
10900,0.5741,1.0000,0.5981,100,3,2
11000,0.5487,1.0000,0.6159,100,3,2
11100,0.5741,1.0000,0.5981,100,3,2
