idx,label,S,U,CCS,T_adv
0,6,0.0000,1.0000,0.0000,100
1,6,0.0200,0.9854,0.0162,100
2,6,0.0400,0.9329,0.0590,100
3,6,0.0600,1.0000,0.0180,100
4,6,0.0800,0.8690,0.1157,100
5,6,0.1000,0.9398,0.0721,100
6,6,0.1200,0.9289,0.0858,100
7,6,0.1400,0.8511,0.1463,100
8,6,0.1600,0.8184,0.1751,100
9,6,0.1800,0.8131,0.1848,100
10,6,0.2000,0.7968,0.2023,100
11,6,0.2200,0.8253,0.1883,100
12,6,0.2400,0.8749,0.1595,100
13,6,0.2600,0.6915,0.2940,100
14,6,0.2800,0.7515,0.2580,100
15,6,0.3000,0.7632,0.2557,100
16,6,0.3200,0.6940,0.3102,500
17,6,0.3400,0.6828,0.3240,500
18,6,0.3600,0.6955,0.3211,500
19,6,0.3800,0.6418,0.3647,500
20,6,0.4000,0.6079,0.3945,500
21,6,0.3800,0.6187,0.3809,500
22,6,0.3600,0.6091,0.3816,500
23,6,0.3400,0.7305,0.2906,100
24,6,0.3200,0.6303,0.3548,500
25,6,0.3000,0.6900,0.3070,500
26,6,0.2800,0.7753,0.2413,100
27,6,0.2600,0.7156,0.2771,100
28,6,0.2400,0.7454,0.2502,100
29,6,0.2200,0.7316,0.2539,100
30,6,0.2000,0.7757,0.2170,100
31,6,0.1800,0.7979,0.1954,100
32,6,0.1600,0.8104,0.1807,100
33,6,0.1400,0.8955,0.1152,100
34,6,0.1200,0.9057,0.1020,100
35,6,0.1000,0.9595,0.0584,100
36,6,0.0800,0.8902,0.1009,100
37,6,0.0600,0.9314,0.0660,100
38,6,0.0400,0.9878,0.0205,100
39,6,0.0200,0.8728,0.0950,100
40,4,0.0000,0.9838,0.0113,100
41,4,0.0200,1.0000,0.0060,100
42,4,0.0400,1.0000,0.0120,100
43,4,0.0600,0.9619,0.0447,100
44,4,0.0800,0.9335,0.0705,100
45,4,0.1000,0.8710,0.1203,100
46,4,0.1200,0.8764,0.1225,100
47,4,0.1400,0.8298,0.1612,100
48,4,0.1600,0.8654,0.1422,100
49,4,0.1800,0.7886,0.2020,100
50,4,0.2000,0.8354,0.1752,100
51,4,0.2200,0.8421,0.1765,100
52,4,0.2400,0.7885,0.2200,100
53,4,0.2600,0.7088,0.2818,100
54,4,0.2800,0.6664,0.3175,500
55,4,0.3000,0.7735,0.2486,100
56,4,0.3200,0.5665,0.3995,500
57,4,0.3000,0.6249,0.3526,500
58,4,0.2800,0.7746,0.2418,100
59,4,0.2600,0.7728,0.2371,100
60,4,0.2400,0.8465,0.1794,100
61,4,0.2200,0.7846,0.2168,100
62,4,0.2000,0.8077,0.1946,100
63,4,0.1800,0.8372,0.1679,100
64,4,0.1600,0.8854,0.1283,100
65,4,0.1400,0.8797,0.1262,100
66,4,0.1200,0.9243,0.0890,100
67,4,0.1000,0.8259,0.1518,100
68,4,0.0800,0.8908,0.1004,100
69,4,0.0600,0.9347,0.0637,100
70,4,0.0400,0.9130,0.0729,100
71,4,0.0200,0.9707,0.0265,100
72,11,0.0000,1.0000,0.0000,100
73,11,0.0200,0.9582,0.0353,100
74,11,0.0400,0.9646,0.0368,100
75,11,0.0600,0.9738,0.0363,100
76,11,0.0800,1.0000,0.0240,100
77,11,0.1000,0.9071,0.0950,100
78,11,0.1200,0.8678,0.1286,100
79,11,0.1400,0.7257,0.2340,100
80,11,0.1600,0.8302,0.1669,100
81,11,0.1800,0.8212,0.1792,100
82,11,0.2000,0.8329,0.1770,100
83,11,0.2200,0.7132,0.2668,100
84,11,0.2400,0.7643,0.2370,100
