idx,label,S,U,CCS,T_adv
0,11,0.0000,1.0000,0.0000,100
1,11,0.0200,0.9601,0.0339,100
2,11,0.0400,0.9703,0.0328,100
3,11,0.0600,0.9344,0.0640,100
4,11,0.0800,0.9728,0.0430,100
5,11,0.1000,0.8420,0.1406,100
6,11,0.1200,0.7339,0.2223,100
7,11,0.1400,0.8208,0.1675,100
8,11,0.1600,0.8479,0.1545,100
9,11,0.1800,0.8202,0.1798,100
10,11,0.2000,0.8248,0.1826,100
11,11,0.2200,0.7331,0.2528,100
12,11,0.2400,0.7375,0.2558,100
13,11,0.2600,0.6607,0.3155,500
14,11,0.2800,0.7514,0.2580,100
15,11,0.3000,0.7367,0.2743,100
16,11,0.3200,0.7137,0.2964,100
17,11,0.3400,0.6040,0.3792,500
18,11,0.3600,0.6881,0.3264,500
19,11,0.3800,0.6412,0.3651,500
20,11,0.4000,0.6770,0.3461,500
21,11,0.4200,0.6003,0.4058,500
22,11,0.4400,0.5251,0.4644,500
23,11,0.4600,0.4758,0.5049,500
24,11,0.4800,0.5165,0.4825,500
25,11,0.5000,0.4532,0.5328,500
26,11,0.5200,0.4972,0.5079,500
27,11,0.5400,0.4615,0.5389,500
28,11,0.5200,0.4275,0.5568,500
29,11,0.5000,0.5273,0.4809,500
30,11,0.4800,0.5306,0.4726,500
31,11,0.4600,0.4753,0.5053,500
32,11,0.4400,0.5284,0.4621,500
33,11,0.4200,0.6106,0.3985,500
34,11,0.4000,0.6084,0.3941,500
35,11,0.3800,0.6461,0.3617,500
36,11,0.3600,0.6055,0.3842,500
37,11,0.3400,0.6805,0.3256,500
38,11,0.3200,0.7186,0.2930,100
39,11,0.3000,0.7678,0.2525,100
40,11,0.2800,0.7316,0.2719,100
41,11,0.2600,0.6615,0.3149,500
42,11,0.2400,0.7542,0.2441,100
43,11,0.2200,0.7778,0.2216,100
44,11,0.2000,0.8620,0.1566,100
45,11,0.1800,0.9223,0.1084,100
46,11,0.1600,0.8776,0.1337,100
47,11,0.1400,0.8765,0.1285,100
48,11,0.1200,0.7943,0.1800,100
49,11,0.1000,0.8352,0.1453,100
50,11,0.0800,0.8159,0.1528,100
51,11,0.0600,0.9749,0.0356,100
52,11,0.0400,0.9681,0.0343,100
53,11,0.0200,0.9953,0.0093,100
54,9,0.0000,0.9979,0.0014,100
55,9,0.0200,0.9991,0.0067,100
56,9,0.0400,1.0000,0.0120,100
57,9,0.0600,0.8366,0.1324,100
58,9,0.0800,0.9600,0.0520,100
59,9,0.1000,0.8537,0.1324,100
60,9,0.1200,0.8706,0.1266,100
61,9,0.1400,0.9081,0.1063,100
62,9,0.1600,0.8801,0.1319,100
63,9,0.1800,0.8277,0.1746,100
64,9,0.2000,0.7855,0.2102,100
65,9,0.2200,0.7541,0.2381,100
66,9,0.2400,0.7626,0.2382,100
67,9,0.2600,0.7446,0.2568,100
68,9,0.2800,0.7272,0.2749,100
69,9,0.3000,0.6754,0.3172,500
70,9,0.3200,0.6241,0.3592,500
71,9,0.3400,0.6435,0.3516,500
72,9,0.3600,0.6747,0.3357,500
73,9,0.3800,0.6034,0.3916,500
74,9,0.4000,0.6835,0.3416,500
75,9,0.4200,0.5607,0.4335,500
76,9,0.4400,0.5709,0.4324,500
77,9,0.4600,0.5239,0.4713,500
78,9,0.4800,0.5303,0.4728,500
79,9,0.5000,0.4686,0.5220,500
80,9,0.5200,0.4543,0.5380,500
81,9,0.5400,0.4249,0.5646,500
82,9,0.5600,0.3354,0.6332,500
83,9,0.5800,0.4733,0.5427,500
84,9,0.6000,0.5043,0.5270,500
85,9,0.6200,0.3980,0.6074,500
86,9,0.6400,0.3176,0.6697,500
87,9,0.6600,0.4062,0.6136,500
88,9,0.6800,0.3623,0.6504,500
89,9,0.7000,0.3458,0.6680,500
90,9,0.7200,0.3183,0.6932,500
91,9,0.7400,0.1563,0.8126,2000
92,9,0.7600,0.2302,0.7668,2000
93,9,0.7800,0.2360,0.7688,2000
94,9,0.8000,0.2441,0.7692,2000
95,9,0.8200,0.2377,0.7796,2000
96,9,0.8400,0.1402,0.8539,2000
97,9,0.8600,0.1167,0.8763,2000
98,9,0.8800,0.1772,0.8400,2000
99,9,0.9000,0.1003,0.8998,2000
100,9,0.9200,0.0103,0.9688,2000
101,9,0.9400,0.0542,0.9440,2000
102,9,0.9600,0.1111,0.9102,2000
103,9,0.9800,0.0000,0.9940,2000
104,9,1.0000,0.0288,0.9798,2000
105,9,1.0000,0.0000,1.0000,2000
