idx,label,S,U,CCS,T_adv
0,1,0.0000,1.0000,0.0000,100
1,1,0.0200,1.0000,0.0060,100
2,1,0.0400,1.0000,0.0120,100
3,1,0.0400,0.9367,0.0563,100
4,1,0.0200,0.9797,0.0202,100
5,5,0.0000,0.9912,0.0062,100
6,5,0.0200,0.9071,0.0710,100
7,5,0.0400,1.0000,0.0120,100
8,5,0.0600,0.8716,0.1079,100
9,5,0.0800,0.9062,0.0896,100
10,5,0.0800,0.9125,0.0852,100
11,5,0.0600,0.9036,0.0855,100
12,5,0.0400,0.9474,0.0488,100
13,5,0.0200,1.0000,0.0060,100
14,6,0.0000,0.9165,0.0585,100
15,6,0.0200,1.0000,0.0060,100
16,6,0.0400,0.9221,0.0665,100
17,6,0.0600,0.9527,0.0511,100
18,6,0.0800,0.9136,0.0845,100
19,6,0.1000,0.8313,0.1481,100
20,6,0.1200,0.9249,0.0886,100
21,6,0.1400,0.8303,0.1608,100
22,6,0.1600,0.8430,0.1579,100
23,6,0.1800,0.8307,0.1725,100
24,6,0.1600,0.7922,0.1935,100
25,6,0.1400,0.8971,0.1140,100
26,6,0.1200,0.9168,0.0942,100
27,6,0.1000,0.9536,0.0625,100
28,6,0.0800,0.8394,0.1364,100
29,6,0.0600,1.0000,0.0180,100
30,6,0.0400,1.0000,0.0120,100
31,6,0.0200,0.9355,0.0512,100
32,8,0.0000,1.0000,0.0000,100
33,8,0.0200,1.0000,0.0060,100
34,8,0.0400,1.0000,0.0120,100
35,8,0.0600,0.8579,0.1174,100
36,8,0.0800,0.9992,0.0245,100
37,8,0.1000,0.8902,0.1069,100
38,8,0.1200,0.8059,0.1719,100
39,8,0.1400,0.9434,0.0816,100
40,8,0.1600,0.8436,0.1575,100
41,8,0.1800,0.7315,0.2419,100
42,8,0.2000,0.8879,0.1385,100
43,8,0.2200,0.8134,0.1966,100
44,8,0.2400,0.7821,0.2246,100
45,8,0.2600,0.7477,0.2546,100
46,8,0.2600,0.6990,0.2887,100
47,8,0.2400,0.7088,0.2758,100
48,8,0.2200,0.8048,0.2026,100
49,8,0.2000,0.8066,0.1953,100
50,8,0.1800,0.8415,0.1649,100
51,8,0.1600,0.8235,0.1715,100
52,8,0.1400,0.8787,0.1269,100
53,8,0.1200,0.8917,0.1118,100
54,8,0.1000,0.9299,0.0791,100
55,8,0.0800,0.8932,0.0988,100
56,8,0.0600,0.8813,0.1011,100
57,8,0.0400,0.9283,0.0622,100
58,8,0.0200,0.9244,0.0589,100
59,5,0.0000,1.0000,0.0000,100
60,0,0.0000,1.0000,0.0000,100
61,0,0.0200,0.9951,0.0094,100
62,0,0.0400,0.9897,0.0192,100
63,0,0.0600,0.9120,0.0796,100
64,0,0.0800,0.8643,0.1190,100
65,0,0.1000,0.9274,0.0808,100
66,0,0.1200,0.8609,0.1334,100
67,0,0.1400,0.8862,0.1217,100
68,0,0.1600,0.8781,0.1334,100
69,0,0.1800,0.8326,0.1712,100
70,0,0.2000,0.7625,0.2262,100
71,0,0.2200,0.7377,0.2496,100
72,0,0.2400,0.8176,0.1997,100
73,0,0.2200,0.6829,0.2880,100
74,0,0.2000,0.8641,0.1552,100
75,0,0.1800,0.7053,0.2603,100
76,0,0.1600,0.8373,0.1619,100
77,0,0.1400,0.9513,0.0761,100
78,0,0.1200,0.8623,0.1324,100
79,0,0.1000,0.8740,0.1182,100
80,0,0.0800,0.8977,0.0956,100
81,0,0.0600,0.9882,0.0263,100
82,0,0.0400,0.9311,0.0602,100
83,0,0.0200,0.9557,0.0370,100
84,5,0.0000,0.9604,0.0277,100
85,5,0.0200,0.9669,0.0292,100
86,5,0.0400,0.9529,0.0450,100
87,5,0.0600,0.9423,0.0584,100
88,5,0.0800,0.8065,0.1594,100
89,5,0.1000,0.9283,0.0802,100
90,5,0.1200,0.8095,0.1694,100
91,5,0.1400,0.8907,0.1185,100
92,5,0.1600,0.8846,0.1288,100
93,5,0.1800,0.8255,0.1762,100
94,5,0.2000,0.8500,0.1650,100
95,5,0.2200,0.7529,0.2390,100
96,5,0.2400,0.7109,0.2744,100
97,5,0.2600,0.6927,0.2931,100
98,5,0.2800,0.7432,0.2638,100
99,5,0.3000,0.6317,0.3478,500
100,5,0.3200,0.6198,0.3622,500
101,5,0.3400,0.7026,0.3102,500
102,5,0.3600,0.5905,0.3946,500
103,5,0.3800,0.5488,0.4299,500
104,5,0.4000,0.5442,0.4390,500
105,5,0.4200,0.5658,0.4300,500
106,5,0.4400,0.5352,0.4574,500
107,5,0.4600,0.4747,0.5057,500
108,5,0.4800,0.5113,0.4861,500
109,5,0.5000,0.5352,0.4753,500
110,5,0.5200,0.5296,0.4853,500
111,5,0.5400,0.5069,0.5072,500
112,5,0.5600,0.4339,0.5643,500
113,5,0.5800,0.3696,0.6153,500
114,5,0.6000,0.4549,0.5616,500
115,5,0.6200,0.3595,0.6344,500
116,5,0.6400,0.3154,0.6712,500
117,5,0.6600,0.2959,0.6909,500
118,5,0.6800,0.2992,0.6945,500
119,5,0.7000,0.2864,0.7095,2000
120,5,0.7200,0.2324,0.7533,2000
121,5,0.7400,0.2134,0.7726,2000
122,5,0.7600,0.3775,0.6638,500
123,5,0.7800,0.2288,0.7738,2000
124,5,0.8000,0.2202,0.7859,2000
125,5,0.8200,0.1851,0.8164,2000
126,5,0.8400,0.2577,0.7716,2000
127,5,0.8600,0.0453,0.9263,2000
128,5,0.8800,0.1466,0.8614,2000
129,5,0.9000,0.0698,0.9211,2000
130,5,0.9200,0.0507,0.9405,2000
131,5,0.9400,0.0802,0.9259,2000
132,5,0.9600,0.0123,0.9794,2000
133,5,0.9800,0.0000,0.9940,2000
134,5,1.0000,0.0801,0.9439,2000
135,5,1.0000,0.0000,1.0000,2000
136,5,1.0000,0.0609,0.9573,2000
137,5,1.0000,0.0000,1.0000,2000
138,5,0.9800,0.0352,0.9694,2000
139,5,0.9600,0.0956,0.9211,2000
140,5,0.9400,0.0977,0.9136,2000
141,5,0.9200,0.0807,0.9195,2000
142,5,0.9000,0.0910,0.9063,2000
143,5,0.8800,0.0810,0.9073,2000
144,5,0.8600,0.0951,0.8914,2000
145,5,0.8400,0.1822,0.8244,2000
146,5,0.8200,0.3001,0.7359,2000
147,5,0.8000,0.2730,0.7489,2000
148,5,0.7800,0.2364,0.7685,2000
149,5,0.7600,0.2853,0.7283,2000
150,5,0.7400,0.2517,0.7458,2000
151,5,0.7200,0.2106,0.7686,2000
152,5,0.7000,0.2769,0.7161,2000
153,5,0.6800,0.3032,0.6917,500
154,5,0.6600,0.3086,0.6820,500
155,5,0.6400,0.3160,0.6708,500
156,5,0.6200,0.2739,0.6943,500
157,5,0.6000,0.3933,0.6047,500
158,5,0.5800,0.4445,0.5628,500
159,5,0.5600,0.4633,0.5437,500
160,5,0.5400,0.4995,0.5123,500
161,5,0.5200,0.4945,0.5098,500
162,5,0.5000,0.4534,0.5327,500
163,5,0.4800,0.5173,0.4819,500
164,5,0.4600,0.5688,0.4399,500
165,5,0.4400,0.5505,0.4466,500
166,5,0.4200,0.6084,0.4001,500
167,5,0.4000,0.5935,0.4046,500
168,5,0.3800,0.6764,0.3405,500
169,5,0.3600,0.5847,0.3987,500
170,5,0.3400,0.6357,0.3570,500
171,5,0.3200,0.6356,0.3511,500
172,5,0.3000,0.6889,0.3078,500
173,5,0.2800,0.7069,0.2892,100
174,5,0.2600,0.7681,0.2403,100
175,5,0.2400,0.7735,0.2305,100
176,5,0.2200,0.7591,0.2346,100
177,5,0.2000,0.8192,0.1866,100
178,5,0.1800,0.8112,0.1861,100
179,5,0.1600,0.8411,0.1592,100
180,5,0.1400,0.8503,0.1468,100
181,5,0.1200,0.8949,0.1095,100
182,5,0.1000,0.8621,0.1265,100
