idx,label,S,U,CCS,T_adv
0,2,0.0000,1.0000,0.0000,100
1,2,0.0200,0.9334,0.0526,100
2,2,0.0400,0.9637,0.0374,100
3,2,0.0600,0.8818,0.1007,100
4,2,0.0800,0.9918,0.0297,100
5,2,0.1000,0.9763,0.0466,100
6,2,0.1200,0.8138,0.1663,100
7,2,0.1400,0.8670,0.1351,100
8,2,0.1600,0.9122,0.1095,100
9,2,0.1800,0.8206,0.1796,100
10,2,0.2000,0.8278,0.1805,100
11,2,0.2200,0.7244,0.2589,100
12,2,0.2400,0.7720,0.2316,100
13,2,0.2600,0.8450,0.1865,100
14,2,0.2800,0.7153,0.2833,100
15,2,0.3000,0.7035,0.2976,100
16,2,0.3200,0.6729,0.3250,500
17,2,0.3400,0.5572,0.4120,500
18,2,0.3600,0.5571,0.4181,500
19,2,0.3800,0.6562,0.3547,500
20,2,0.4000,0.6392,0.3726,500
21,2,0.4200,0.5627,0.4321,500
22,2,0.4400,0.6176,0.3997,500
23,2,0.4600,0.5320,0.4656,500
24,2,0.4800,0.4923,0.4994,500
25,2,0.5000,0.4320,0.5476,500
26,2,0.5200,0.4446,0.5448,500
27,2,0.5000,0.5150,0.4895,500
28,2,0.4800,0.5313,0.4721,500
29,2,0.4600,0.5975,0.4197,500
30,2,0.4400,0.5850,0.4225,500
31,2,0.4200,0.5532,0.4387,500
32,2,0.4000,0.5259,0.4518,500
33,2,0.3800,0.5416,0.4349,500
34,2,0.3600,0.6887,0.3259,500
35,2,0.3400,0.6073,0.3769,500
36,2,0.3200,0.6608,0.3334,500
37,2,0.3000,0.7176,0.2877,100
38,2,0.2800,0.7442,0.2630,100
39,2,0.2600,0.7148,0.2777,100
40,2,0.2400,0.7101,0.2750,100
41,2,0.2200,0.7969,0.2082,100
42,2,0.2000,0.7266,0.2514,100
43,2,0.1800,0.8460,0.1618,100
44,2,0.1600,0.8848,0.1286,100
45,2,0.1400,0.9212,0.0972,100
46,2,0.1200,0.9266,0.0874,100
47,2,0.1000,0.8414,0.1410,100
48,2,0.0800,0.9048,0.0907,100
49,2,0.0600,0.8155,0.1471,100
50,2,0.0400,0.9177,0.0696,100
51,2,0.0200,0.9173,0.0639,100
52,9,0.0000,1.0000,0.0000,100
53,9,0.0200,1.0000,0.0060,100
54,9,0.0400,1.0000,0.0120,100
55,9,0.0600,0.9189,0.0748,100
56,9,0.0800,0.8842,0.1051,100
57,9,0.1000,0.9343,0.0760,100
58,9,0.1200,0.8848,0.1167,100
59,9,0.1400,0.8329,0.1590,100
60,9,0.1600,0.8828,0.1301,100
61,9,0.1800,0.8673,0.1469,100
62,9,0.2000,0.7742,0.2180,100
63,9,0.2200,0.7953,0.2093,100
64,9,0.2400,0.7747,0.2297,100
65,9,0.2600,0.7185,0.2750,100
66,9,0.2800,0.7002,0.2939,100
67,9,0.3000,0.7359,0.2749,100
68,9,0.3200,0.7217,0.2908,100
69,9,0.3400,0.6244,0.3650,500
70,9,0.3600,0.6411,0.3592,500
