time_center_s,p0_loco,p1_trans,p2_stat,p3_unk,y_hat,U,U_ema,CCS,CCS_ema,mask_eval_window,window_len_s,stride_s
1.0,0.896498,0.033483,0.070019,0.000000,0,0.362149,0.362149,0.000000,0.000000,1,2.0,1.0
2.0,0.896498,0.033483,0.070019,0.000000,0,0.362149,0.362149,0.190267,0.038053,1,2.0,1.0
3.0,0.878117,0.036575,0.085308,0.000000,0,0.405167,0.370753,0.205571,0.071557,1,2.0,1.0
4.0,0.847778,0.039157,0.113064,0.000000,0,0.467256,0.390053,0.244474,0.106140,1,2.0,1.0
5.0,0.836939,0.038659,0.124402,0.000000,0,0.486084,0.409259,0.274882,0.139889,1,2.0,1.0
6.0,0.861426,0.035558,0.103016,0.000000,0,0.438079,0.415023,0.264849,0.164881,1,2.0,1.0
7.0,0.848028,0.038337,0.113635,0.000000,0,0.465997,0.425218,0.256417,0.183188,1,2.0,1.0
8.0,0.834111,0.041944,0.123945,0.000000,0,0.494359,0.439046,0.276958,0.201942,1,2.0,1.0
9.0,0.834095,0.041948,0.123957,0.000000,0,0.494389,0.450115,0.287149,0.218983,1,2.0,1.0
10.0,0.844843,0.042497,0.112660,0.000000,0,0.475730,0.455238,0.279573,0.231101,1,2.0,1.0
11.0,0.836929,0.038656,0.124415,0.000000,0,0.486100,0.461410,0.277267,0.240335,1,2.0,1.0
12.0,0.857987,0.038897,0.103116,0.000000,0,0.447815,0.458691,0.267593,0.245786,1,2.0,1.0
13.0,0.857987,0.038897,0.103116,0.000000,0,0.447815,0.456516,0.251712,0.246971,0,2.0,1.0
14.0,0.678713,0.070759,0.250527,0.000000,0,0.725662,0.510345,0.389087,0.275395,0,2.0,1.0
15.0,0.654930,0.167784,0.177287,0.000000,0,0.804101,0.569096,0.499203,0.320156,0,2.0,1.0
16.0,0.221767,0.650392,0.127842,0.000000,1,0.798062,0.614889,0.722969,0.400719,0,2.0,1.0
17.0,0.186386,0.670261,0.143353,0.000000,1,0.782565,0.648425,0.504407,0.421456,1,2.0,1.0
18.0,0.688102,0.285594,0.026303,0.000000,0,0.647016,0.648143,0.676554,0.472476,1,2.0,1.0
19.0,0.504931,0.424201,0.070867,0.000000,0,0.815930,0.681700,0.529542,0.483889,1,2.0,1.0
20.0,0.379550,0.554849,0.065602,0.000000,1,0.794861,0.704332,0.568337,0.500779,1,2.0,1.0
21.0,0.608553,0.363622,0.027826,0.000000,0,0.700676,0.703601,0.565444,0.513712,1,2.0,1.0
22.0,0.512423,0.433866,0.053712,0.000000,0,0.784585,0.719798,0.528906,0.516751,1,2.0,1.0
23.0,0.517704,0.449207,0.033089,0.000000,0,0.740120,0.723862,0.538044,0.521009,1,2.0,1.0
24.0,0.640767,0.337359,0.021873,0.000000,0,0.669377,0.712965,0.516005,0.520008,1,2.0,1.0
25.0,0.375143,0.543598,0.081259,0.000000,1,0.822060,0.734784,0.574455,0.530898,1,2.0,1.0
26.0,0.645872,0.329023,0.025105,0.000000,0,0.674124,0.722652,0.576809,0.540080,1,2.0,1.0
27.0,0.909098,0.085160,0.005742,0.000000,0,0.296771,0.637476,0.384675,0.508999,1,2.0,1.0
28.0,0.695529,0.232163,0.072307,0.000000,0,0.711356,0.652252,0.347510,0.476701,0,2.0,1.0
29.0,0.439572,0.051134,0.509293,0.000000,2,0.780059,0.677813,0.645567,0.510474,0,2.0,1.0
30.0,0.002890,0.003282,0.993828,0.000000,2,0.038064,0.549863,0.492412,0.506862,0,2.0,1.0
31.0,0.000315,0.002531,0.997155,0.000000,2,0.018668,0.443624,0.008990,0.407288,1,2.0,1.0
32.0,0.000315,0.002528,0.997158,0.000000,2,0.018654,0.358630,0.005673,0.326965,1,2.0,1.0
33.0,0.000344,0.002528,0.997129,0.000000,2,0.018865,0.290677,0.005699,0.262712,1,2.0,1.0
34.0,0.000344,0.002528,0.997129,0.000000,2,0.018865,0.236315,0.005728,0.211315,1,2.0,1.0
