seg_idx,label4,label_name,subject,start_idx,end_idx,source_len,reuse_count,seed
0,1,transition,9,51438,52188,750,0,2
1,2,stationary,10,31470,32220,750,0,2
2,0,locomotion,9,28398,29148,750,0,2
3,2,stationary,9,13788,14538,750,0,2
4,0,locomotion,9,62428,63178,750,0,2
5,1,transition,9,36078,36828,750,0,2
6,2,stationary,9,13038,13788,750,0,2
7,0,locomotion,9,28398,29148,750,1,2
8,2,stationary,9,22254,23004,750,0,2
9,1,transition,9,97536,98286,750,0,2
10,2,stationary,10,39936,40686,750,0,2
11,0,locomotion,9,62428,63178,750,1,2
12,2,stationary,9,22254,23004,750,1,2
13,1,transition,9,40686,41436,750,0,2
14,0,locomotion,9,28398,29148,750,2,2
15,1,transition,9,51438,52188,750,1,2
16,2,stationary,9,13788,14538,750,1,2
17,1,transition,9,40686,41436,750,1,2
18,2,stationary,10,39936,40686,750,1,2
19,1,transition,9,36078,36828,750,1,2
20,2,stationary,10,31470,32220,750,1,2
21,0,locomotion,9,62428,63178,750,2,2
22,1,transition,9,97536,98286,750,1,2
23,0,locomotion,9,28398,29148,750,3,2
24,1,transition,9,51438,52188,750,2,2
25,2,stationary,9,13038,13788,750,1,2
26,1,transition,9,40686,41436,750,2,2
27,0,locomotion,9,62428,63178,750,3,2
28,1,transition,9,36078,36828,750,2,2
29,0,locomotion,9,28398,29148,750,4,2
30,1,transition,9,97536,98286,750,2,2
31,0,locomotion,9,62428,63178,750,4,2
32,2,stationary,9,22254,23004,750,2,2
33,0,locomotion,9,28398,29148,750,5,2
34,1,transition,9,51438,52188,750,3,2
35,0,locomotion,9,62428,63178,750,5,2
36,2,stationary,9,13788,14538,750,2,2
37,0,locomotion,9,28398,29148,750,6,2
38,2,stationary,10,39936,40686,750,2,2
39,1,transition,9,40686,41436,750,3,2
40,0,locomotion,9,62428,63178,750,6,2
41,2,stationary,10,31470,32220,750,2,2
42,1,transition,9,36078,36828,750,3,2
43,2,stationary,9,13038,13788,750,2,2
44,1,transition,9,97536,98286,750,3,2
45,0,locomotion,9,28398,29148,750,7,2
46,2,stationary,9,22254,23004,750,3,2
47,0,locomotion,9,62428,63178,750,7,2
48,1,transition,9,51438,52188,750,4,2
49,2,stationary,9,13788,14538,750,3,2
50,1,transition,9,40686,41436,750,4,2
51,2,stationary,10,39936,40686,750,3,2
52,1,transition,9,36078,36828,750,4,2
53,2,stationary,10,31470,32220,750,3,2
54,0,locomotion,9,28398,29148,750,8,2
55,1,transition,9,97536,98286,750,4,2
56,2,stationary,9,13038,13788,750,3,2
57,1,transition,9,51438,52188,750,5,2
58,0,locomotion,9,62428,63178,750,8,2
59,1,transition,9,40686,41436,750,5,2
