rx_trial_id,condition,repeat_idx,mode,rx_count,rx_unique,adv_count,pdr_unique,rx_tag_share100_time_est,tl_mean_s,tl_p95_s,pout_1s,pout_2s,pout_3s,tl_time_offset_ms,tl_time_offset_n,txsd_ms_total,E_total_mJ,avg_power_mW,txsd_path,rx_path
2,S4_fixed100,1,FIXED_100,737,737,1796,0.410356,1.0,1.552585,14.5963,0.073171,0.073171,0.073171,-1228.0,737,181463.0,37744.841,208.00295928095537,uccs_d4b_scan90/data/01/TX/trial_003_c2_s4_fixed500.csv,uccs_d4b_scan90/data/01/RX/rx_trial_002.csv
3,S4_fixed500,1,FIXED_500,290,290,359,0.807799,0.000692,1.042333,9.59,0.146341,0.097561,0.097561,-697.0,290,179628.0,33736.67,187.81409357115817,uccs_d4b_scan90/data/01/TX/trial_001_c3_s4_policy.csv,uccs_d4b_scan90/data/01/RX/rx_trial_003.csv
4,S4_policy,1,POLICY,538,537,1215,0.441975,0.428716,1.333439,13.9455,0.04878,0.04878,0.04878,-897.0,537,180885.0,36316.025,200.7685822483899,uccs_d4b_scan90/data/01/TX/trial_001_c5_unk.csv,uccs_d4b_scan90/data/01/RX/rx_trial_004.csv
5,S4_ablation_ccs_off,1,U_ONLY,533,533,1227,0.434393,0.418255,1.312,13.9479,0.04878,0.04878,0.04878,-900.0,533,180898.0,36302.285,200.67819986953975,uccs_d4b_scan90/data/01/TX/trial_001_c4_s4_ablation_ccs_off.csv,uccs_d4b_scan90/data/01/RX/rx_trial_005.csv
6,S4_fixed100,2,FIXED_100,705,705,1796,0.392539,1.0,1.553244,14.6142,0.073171,0.073171,0.073171,-1205.0,705,181448.0,37894.507,208.8449969137163,uccs_d4b_scan90/data/01/TX/trial_004_c2_s4_fixed500.csv,uccs_d4b_scan90/data/01/RX/rx_trial_006.csv
7,S4_fixed500,2,FIXED_500,301,301,359,0.83844,0.000666,1.513049,14.9559,0.097561,0.097561,0.097561,-685.0,301,179612.0,33813.545,188.25883014497919,uccs_d4b_scan90/data/01/TX/trial_002_c3_s4_policy.csv,uccs_d4b_scan90/data/01/RX/rx_trial_007.csv
8,S4_policy,2,POLICY,549,549,1215,0.451852,0.432836,1.288439,13.9323,0.04878,0.04878,0.04878,-860.0,549,180875.0,36260.876,200.47478092605388,uccs_d4b_scan90/data/01/TX/trial_002_c5_unk.csv,uccs_d4b_scan90/data/01/RX/rx_trial_008.csv
9,S4_ablation_ccs_off,2,U_ONLY,512,512,1227,0.417278,0.430851,1.57761,15.2289,0.073171,0.073171,0.073171,-860.0,512,180889.0,36261.609,200.4633172829746,uccs_d4b_scan90/data/01/TX/trial_002_c4_s4_ablation_ccs_off.csv,uccs_d4b_scan90/data/01/RX/rx_trial_009.csv
10,S4_fixed100,3,FIXED_100,591,591,1796,0.329065,1.0,1.354073,13.8769,0.097561,0.04878,0.04878,-1095.0,591,181442.0,37737.473,207.98642541418192,uccs_d4b_scan90/data/01/TX/trial_005_c2_s4_fixed500.csv,uccs_d4b_scan90/data/01/RX/rx_trial_010.csv
11,S4_fixed500,3,FIXED_500,295,295,359,0.821727,0.0,1.073375,9.65505,0.146341,0.073171,0.073171,-633.0,295,179606.0,33833.253,188.3748482790107,uccs_d4b_scan90/data/01/TX/trial_003_c3_s4_policy.csv,uccs_d4b_scan90/data/01/RX/rx_trial_011.csv
12,S4_policy,3,POLICY,546,546,1215,0.449383,0.439394,1.330098,13.9118,0.04878,0.04878,0.04878,-846.0,546,180865.0,36287.557,200.63338401570232,uccs_d4b_scan90/data/01/TX/trial_003_c5_unk.csv,uccs_d4b_scan90/data/01/RX/rx_trial_012.csv
13,S4_ablation_ccs_off,3,U_ONLY,551,551,1227,0.449063,0.43669,1.330025,14.66235,0.073171,0.073171,0.073171,-839.0,551,180875.0,36320.761,200.8058659295093,uccs_d4b_scan90/data/01/TX/trial_003_c4_s4_ablation_ccs_off.csv,uccs_d4b_scan90/data/01/RX/rx_trial_013.csv
