rx_file,mode,transition_step,label_prev,label_cur,tl_s,outage_gt_tau,arrival_step,offset_ms
rx_trial_004.csv,P,13,1,0,0.007,0,19,-897.0
rx_trial_004.csv,P,88,0,6,15.39,1,246,-897.0
rx_trial_004.csv,P,91,6,7,25.106,1,346,-897.0
rx_trial_004.csv,P,97,7,11,0.077,0,103,-897.0
rx_trial_004.csv,P,120,11,10,0.193,0,127,-897.0
rx_trial_004.csv,P,245,10,6,0.129,0,251,-897.0
rx_trial_004.csv,P,338,6,7,0.406,0,346,-897.0
rx_trial_004.csv,P,362,7,11,0.153,0,367,-897.0
rx_trial_004.csv,P,376,11,4,0.219,0,382,-897.0
rx_trial_004.csv,P,429,4,10,0.358,0,436,-897.0
rx_trial_004.csv,P,605,10,3,0.23,0,609,-897.0
rx_trial_004.csv,P,615,3,7,0.11,0,619,-897.0
rx_trial_004.csv,P,642,7,3,0.141,0,646,-897.0
rx_trial_004.csv,P,680,3,9,0.146,0,683,-897.0
rx_trial_004.csv,P,714,9,8,0.011,0,716,-897.0
rx_trial_004.csv,P,724,8,7,0.242,0,728,-897.0
rx_trial_004.csv,P,775,7,0,0.47,0,781,-897.0
rx_trial_004.csv,P,796,0,7,0.138,0,798,-897.0
rx_trial_004.csv,P,858,7,4,0.35,0,862,-897.0
rx_trial_004.csv,P,963,4,6,0.486,0,968,-897.0
rx_trial_004.csv,P,1035,6,5,0.945,0,1044,-897.0
rx_trial_004.csv,P,1055,5,9,0.167,0,1056,-897.0
rx_trial_004.csv,P,1087,9,2,0.225,0,1088,-897.0
rx_trial_004.csv,P,1128,2,9,0.212,0,1129,-897.0
rx_trial_004.csv,P,1130,9,4,0.211,0,1131,-897.0
rx_trial_004.csv,P,1224,4,9,0.298,0,1225,-897.0
rx_trial_004.csv,P,1282,9,0,0.511,0,1285,-897.0
rx_trial_004.csv,P,1299,0,9,0.369,0,1300,-897.0
rx_trial_004.csv,P,1404,9,7,0.521,0,1406,-897.0
rx_trial_004.csv,P,1410,7,2,0.489,0,1412,-897.0
rx_trial_004.csv,P,1414,2,8,0.401,0,1415,-897.0
rx_trial_004.csv,P,1458,8,6,0.447,0,1459,-897.0
rx_trial_004.csv,P,1523,6,11,0.483,0,1524,-897.0
rx_trial_004.csv,P,1581,11,5,0.735,0,1584,-897.0
rx_trial_004.csv,P,1603,5,1,0.731,0,1605,-897.0
rx_trial_004.csv,P,1614,1,2,0.569,0,1615,-897.0
rx_trial_004.csv,P,1627,2,8,0.542,0,1627,-897.0
rx_trial_004.csv,P,1678,8,1,0.606,0,1679,-897.0
rx_trial_004.csv,P,1697,1,2,0.568,0,1697,-897.0
rx_trial_004.csv,P,1701,2,1,0.677,0,1702,-897.0
rx_trial_004.csv,P,1766,1,3,0.602,0,1766,-897.0
rx_trial_005.csv,U,13,1,0,0.0,0,19,-902.0
rx_trial_005.csv,U,88,0,6,15.39,1,246,-902.0
rx_trial_005.csv,U,91,6,7,24.589,1,341,-902.0
rx_trial_005.csv,U,97,7,11,0.056,0,103,-902.0
rx_trial_005.csv,U,120,11,10,0.19,0,127,-902.0
rx_trial_005.csv,U,245,10,6,0.106,0,251,-902.0
rx_trial_005.csv,U,338,6,7,0.405,0,346,-902.0
rx_trial_005.csv,U,362,7,11,0.045,0,366,-902.0
rx_trial_005.csv,U,376,11,4,0.005,0,380,-902.0
rx_trial_005.csv,U,429,4,10,0.33,0,436,-902.0
rx_trial_005.csv,U,605,10,3,0.203,0,609,-902.0
rx_trial_005.csv,U,615,3,7,0.098,0,619,-902.0
rx_trial_005.csv,U,642,7,3,0.131,0,646,-902.0
rx_trial_005.csv,U,680,3,9,0.112,0,683,-902.0
